text,label
<title> Front End Developer - Anna nagar - chennai <skill> RM,1
<title> Accountant or Jr Accountant <skill> Calculation,1
<title> Relationship Manager- Retail Agri <skill> GAN,1
<title> Clinical Data Specialist <skill> Botany,1
<title> Any Graduate/ BBA / BMS / BCOM / MBA - Fresher For Sales/Marketing/PR <skill> Analytical,0
<title> Accounting Services Analyst I <skill> ICE,0
<title> Software Developer <skill> Programming,0
<title> Scrum Master <skill> RM,0
<title> Operations Manager|| Ops Manager|| German Language <skill> ServiceNow,0
<title> Account Manager / Senior Account Manager - Broker Acquisition <skill> Art,1
